time,"# warm-ups since codes cleared ()","Absolute load value (%)","Absolute pedal position D (%)","Absolute pedal position E (%)","Absolute throttle position B (%)","Altitude (GPS) (m)","Ambient air temperature (℃)","Average fuel consumption (L/100km)","Average fuel consumption (total) (L/100km)","Average fuel consumption 10 sec (L/100km)","Average speed (km/h)","Average speed (GPS) (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated engine load value (%)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Catalyst temperature Bank 1 Sensor 1","Commanded evaporative purge (%)","Commanded throttle actuator (%)","Control module voltage (V)","Distance traveled since codes cleared (km)","Distance traveled with MIL on (km)","Distance travelled (km)","Distance travelled (total) (km)","Engine coolant temperature","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (total) (L)","Fuel used price (£)","Fuel used price (total) (£)","Fuel/Air commanded equivalence ratio ()","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Long term fuel % trim - Bank 1 (%)","Long term secondary oxygen sensor trim Bank 1 (%)","OBD Module Voltage (V)","Oxygen sensor 1 Bank 1 Short term fuel trim (%)","Oxygen sensor 1 Bank 1 Voltage (V)","Oxygen sensor 2 Bank 1 Voltage (V)","Relative throttle position (%)","Short term fuel % trim - Bank 1 (%)","Speed (GPS) (km/h)","Throttle position (%)","Timing advance (°)","Vehicle acceleration (g)","Vehicle speed (km/h)",Latitude,Longtitude,
15:39:36.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,12.9075866666667,77.5404733333333,
15:39:36.375,,,,,,,,,,,,,,-0.30325,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,12.9075866666667,77.5404733333333,
15:39:36.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.63156736,,,,,,,,,,,,,,,,,12.9075866666667,77.5404733333333,
15:39:36.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,18.8235294117647,,,,12.9075866666667,77.5404733333333,
15:39:37.010,,,,,,,,,,,,,,,,,4.73142640234076,,,,,,,,,,1395,1.4,,,,,,,18.5102764446602,,,,,,,,,,,,,,,,12.9075866666667,77.5404733333333,
15:39:37.178,,,,,,,,,,,,,,,,52.5714044704528,,,,,,,,0.0023692175,26.7405471589444,,,,,,,,,,,,,,,,,,,,,,,,,9,12.9075866666667,77.5404733333333,
15:39:37.325,,,,,,,,,,,,,,-0.47325,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,12.9075866666667,77.5404733333333,
15:39:37.455,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9075866666667,77.5404733333333,
15:39:37.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.63156736,,,,,,,,,,,,,,,,,12.9075866666667,77.5404733333333,
15:39:37.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,18.8235294117647,,,,12.9075866666667,77.5404733333333,
15:39:37.920,,,,,,769.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9075866666667,77.5404733333333,
15:39:37.921,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,12.9075866666667,77.5404733333333,
15:39:37.922,,,,,,769.9,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,12.9075866666667,77.5404733333333,
15:39:37.925,,,,,,793.700012207031,,,,,,2.08387171796593E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0352267988026142,,,,,12.9075866666667,77.5404733333333,
15:39:38.014,,,,,,,,45.045376945599,14.3677773125876,45.045376945599,,,,,,,3.89004507845335,,,,,,,,,,1508,1.5,,0.0010672229535361,3.84202226796462,0.00107789518307146,3.88,,15.2186261945738,,,,,,,,,,,,,,,,12.9075866666667,77.5404733333333,
15:39:38.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,12.9075866666667,77.5404733333333,
15:39:38.335,,,,,,,,,,,17.397231803346,,,,,38.9004507845335,,,,,,,,0.00558044722222222,26.7437583886667,,,,,,,,,,,,,,,,,,,,,,,,,10,12.9075866666667,77.5404733333333,
15:39:38.480,,,,,,,,,,,,,,-0.29,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,12.9075866666667,77.5404733333333,
15:39:38.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.63156736,,,,,,,,,,,,,,,,,12.9075866666667,77.5404733333333,
15:39:38.903,,,,,,771.4,,,,,,1.68503606271804E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,12.9075866666667,77.5404733333333,
15:39:38.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,20,,,,12.9075866666667,77.5404733333333,
15:39:38.913,,,,,,771.4,,,,,,1.68170846500525E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,12.9075866666667,77.5404733333333,
15:39:38.923,,,,,,793.700012207031,,,,,,2.88807435113416E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00662980168126524,,,,,12.9075866666667,77.5404733333333,
15:39:39.058,,,,,,,,39.9204469820701,14.3703915083021,42.4829119638345,,,,,,,4.00209468158013,,,,,,,,,,1660,1.7,,0.00222773947470963,3.84318278448579,0.00225001686945672,3.88,,15.6569864168453,,,,,,,,,,,,,,,,12.9075866666667,77.5404733333333,
15:39:39.211,,,,,,,,,,,14.2051452424485,,,,,40.0209468158013,,,,,,,,0.00801579694444444,26.7461937383889,,,,,,,,,,,,,,,,,,,,,,,,,10,12.9075866666667,77.5404733333333,
15:39:39.341,,,,,,,,,,,,,,-0.28,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,12.9075866666667,77.5404733333333,
15:39:39.460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.63156736,,,,,,,,,,,,,,,,,12.9075866666667,77.5404733333333,
15:39:39.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,22.3529411764706,,,,12.9075866666667,77.5404733333333,
15:39:39.896,,,,,,780.4,,,,,,2.42738764921578E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,12.9075866666667,77.5404733333333,
15:39:39.902,,,,,,780.4,,,,,,2.42517210885802E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,12.9075866666667,77.5404733333333,
15:39:39.914,,,,,,793.700012207031,,,,,,3.08000452746623E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00327063831500709,,,,,12.9075866666667,77.5404733333333,
15:39:39.928,,,,,,,,41.2983700914837,14.3731309064037,42.0880646730509,,,,,,,4.48182434033008,,,,,,,,,,1829,1.8,,0.00331039348789851,3.84426543849898,0.0033434974227775,3.88,,17.5337837813295,,,,,,,,,,,,,,,,12.9075866666667,77.5404733333333,
15:39:40.111,,,,,,,,,,,13.8353434979919,,,,,34.4755718486929,,,,,,,,0.0112631106388889,26.7494410520833,,,,,,,,,,,,,,,,,,,,,,,,0.0583128429869021,13,12.9075866666667,77.5404733333333,
15:39:40.232,,,,,,,,,,,,,,-0.26,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,12.9075866666667,77.5404733333333,
15:39:40.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.63156736,,,,,,,,,,,,,,,,,12.9075866666667,77.5404733333333,
15:39:40.597,,,,,,793.700012207031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9075359,77.5402042,
15:39:40.600,,,,,,793.700012207031,,,,,,2.76965074175641E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,12.9075359,77.5402042,
15:39:40.601,,,,,,793.700012207031,,,,,,2.76940750753379E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,12.9075359,77.5402042,
15:39:40.617,,,,,,793.700012207031,,,,,,0.000103675320328729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0319599620997906,,,,,12.9075359,77.5402042,
15:39:40.620,,,,,,793.700012207031,,,,,,0.000116602961095657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0319599620997906,,,,,12.9075359,77.5402042,
15:39:40.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,22.3529411764706,,,,12.9075359,77.5402042,
15:39:40.790,,,,,,,,40.1137563692433,14.3759007684868,41.594487597099,,,,,,,5.03870281221892,,,,,,,,,,1992,2,,0.00451805676128221,3.84547310177236,0.00456323732889503,3.88,,19.7124025707167,,,,,,,,,,,,,,,,12.9075359,77.5402042,
15:39:40.914,,,,,,774.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9076316666667,77.540215,
15:39:40.916,,,,,,774.2,,,,,,0.000111755224431397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,12.9076316666667,77.540215,
15:39:40.917,,,,,,774.2,,,,,,0.00011174523330871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,12.9076316666667,77.540215,
15:39:40.923,,,,,,793.700012207031,,,,,,0.00019110174115702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093619005382061,,,,,12.9076316666667,77.540215,
15:39:40.930,,,,,,793.700012207031,,,,,,0.000278536624882229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093619005382061,,,,,12.9076316666667,77.540215,
15:39:40.947,,,,,,,,,,,14.0938447700731,,,,,33.5913520814595,,,,,,,,0.0147470439722222,26.7529249854167,,,,,,,,,,,,,,,,,,,,,,,,0.0450935189857513,15,12.9076316666667,77.540215,
15:39:41.084,,,,,,,,,,,,,,-0.17,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,12.9076316666667,77.540215,
15:39:41.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.63156736,,,,,,,,,,,,,,,,,12.9076316666667,77.540215,
15:39:41.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,26.6666666666667,,,,12.9076316666667,77.540215,
15:39:41.647,,,,,,,,39.2366076119224,14.378769001467,41.1229116000637,,,,,,,5.32891988951344,,,,,,,,,,1847,1.8,,0.00578623977773848,3.84674128478882,0.00584410217551587,3.88,,20.8477892116302,,,,,,,,,,,,,,,,12.9076316666667,77.540215,
15:39:41.794,,,,,,,,,,,14.627510208448,,,,,31.3465875853732,,,,,,,,0.0187482773055556,26.75692621875,,,,,,,,,,,,,,,,,,,,,,,,0.0573145342501719,17,12.9076316666667,77.540215,
15:39:41.920,,,,,,,,,,,,,,-0.11,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,12.9076316666667,77.540215,
15:39:41.925,,,,,,777,,,,,,0.000244439480546217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,12.9076316666667,77.540215,
15:39:41.936,,,,,,777,,,,,,0.000244110959320299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,12.9077683333333,77.5401916666667,
15:39:41.941,,,,,,793.700012207031,,,,,,0.000595230690019976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.612293118238449,,,,,12.9077683333333,77.5401916666667,
15:39:41.948,,,,,,,,,,,,0.00116929669488992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.612293118238449,,,,,12.9077683333333,77.5401916666667,
15:39:41.949,,,,,,793.700012207031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9077683333333,77.5401916666667,
15:39:42.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.63156736,,,,,,,,,,,,,,,,,12.9077683333333,77.5401916666667,
15:39:42.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,27.4509803921569,,,,12.9077683333333,77.5401916666667,
15:39:42.540,,,,,,,,38.7676277006347,14.3821576361059,40.7303642834922,,,,,,,5.97923063305205,,,,,,,,,,1915,1.9,,0.00726826234610037,3.84822330735718,0.00734094496956137,3.88,,23.3919335381438,,,,,,,,,,,,,,,,12.9077683333333,77.5401916666667,
15:39:42.696,,,,,,,,,,,15.6693995776278,,,,,28.4725268240574,,,,,,,,0.0240091558888889,26.7621870973333,,,,,,,,,,,,,,,,,,,,,,,,0.089419922096197,21,12.9077683333333,77.5401916666667,
